City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Praya,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
7,Butaritari,KI,82.72,light rain,3.0707,172.7902,Isles Sunset Lodge
9,Sola,VU,80.87,few clouds,-13.8833,167.55,Leumerus Bungalows
10,East London,ZA,78.22,clear sky,-33.0153,27.9116,Tu Casa
11,Kismayo,SO,77.54,broken clouds,-0.3582,42.5454,Agan-Hotel
16,Samokov,BG,77.5,scattered clouds,42.3333,23.55,The Castle Hotel
20,Albany,US,76.68,overcast clouds,42.6001,-73.9662,Kost Pria
23,Robertsport,LR,78.53,light rain,6.7533,-11.3686,Kwepunha Retreat
24,Bambanglipuro,ID,77.23,scattered clouds,-7.95,110.2833,Puri Brata
29,Bud,US,81.68,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
32,Georgetown,MY,86.9,few clouds,5.4112,100.3354,Cititel Penang
33,Jamestown,US,75.02,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
41,Hithadhoo,MV,82.9,light rain,-0.6,73.0833,Scoop Guest House
44,Ponta Do Sol,PT,78.01,broken clouds,32.6667,-17.1,Hotel do Campo
48,Santa,PH,80.13,overcast clouds,17.486,120.4348,Monte Leah Beach Resort
49,Frutigen,CH,82.13,clear sky,46.5878,7.6475,Hotel Restaurant National - Confiserie Philipp Blaser
56,Manzhouli,CN,76.87,overcast clouds,49.6,117.4333,Angala International Youth Hostel
58,Manokwari,ID,78.55,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
65,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
67,Nikolskoye,RU,89.87,broken clouds,59.7035,30.7861,Tourist House - Sablino
68,Port Alfred,ZA,81.18,clear sky,-33.5906,26.891,The Halyards Hotel
70,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
80,Pokaran,IN,83.77,overcast clouds,26.9167,71.9167,Motel Pokaran - RTDC
85,Kamien Pomorski,PL,75.56,clear sky,53.9685,14.7726,Mieszko II
87,Kapaa,US,77.32,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
88,Saint George,US,85.42,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
90,Hamilton,US,81.99,haze,39.1834,-84.5333,Six Acres Bed & Breakfast
92,Savannakhet,LA,75.96,light rain,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์ (Riverfront Hotel)
93,Bautzen,DE,80.65,clear sky,51.1833,14.4333,Hotel Dom-Eck
94,Inirida,CO,81.91,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
96,Pilar,BR,75.13,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
97,Cayenne,GF,87.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
98,Shahrud,IR,86.04,clear sky,36.4182,54.9763,Royal Hotel
99,Loukhi,RU,78.24,clear sky,66.0764,33.0381,Хостел Северяночка
100,Arraial Do Cabo,BR,78.66,clear sky,-22.9661,-42.0278,Pousada Porto Praia
103,Platteville,US,77.32,clear sky,42.7342,-90.4785,"Country Inn & Suites by Radisson, Platteville, WI"
104,Goranboy,AZ,84.36,light rain,40.6103,46.7897,Qala Hotel
106,Asau,RO,87.28,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
108,Hasaki,JP,77.29,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
117,Mlimba,TZ,77.56,clear sky,-8.8,35.8167,California Lodge
118,Belmonte,BR,77.45,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
122,Boma,GH,77.13,moderate rain,7.0805,-2.1697,Obaatanpa Hotel
126,Aksu,CN,89.73,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
132,Vila Velha,BR,82.35,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
135,Shingu,JP,76.1,light rain,33.7333,135.9833,Shingu UI Hotel
137,Jiaozuo,CN,80.98,overcast clouds,35.2397,113.2331,Days Hotel and Suites Jiaozuo
138,Saint-Francois,FR,80.67,clear sky,46.4154,3.9054,Manoir Du Bonheur
139,Remanso,BR,82.6,broken clouds,-9.6179,-42.0831,Hotel Mangueira
140,Sakaiminato,JP,77.65,overcast clouds,35.55,133.2333,Italian pasley
144,Gat,IL,86.4,clear sky,31.61,34.7642,OlusHome
146,Hambantota,LK,81.01,clear sky,6.1241,81.1185,Bungalow 63
147,Bintulu,MY,79.97,broken clouds,3.1667,113.0333,900 Boutique INN
149,Yumen,CN,77.59,overcast clouds,40.2833,97.2,Kost Pria
150,Touros,BR,83.95,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
153,Masuda,JP,77.54,overcast clouds,34.6667,131.85,Masuda Green Hotel Morris
156,Okitipupa,NG,80.28,moderate rain,6.5047,4.7839,Coastal Hotel & Suites
157,Manado,ID,77.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
158,Griffith,US,80.06,clear sky,41.5284,-87.4237,Apartment above Depot Bar
167,Westport,US,86.18,clear sky,41.1415,-73.3579,The Westport Inn
169,Butterworth,MY,87.01,few clouds,5.3991,100.3638,Cititel Penang
170,Ixtapa,MX,85.23,overcast clouds,20.7,-105.2,hotel la terminal
171,Atuona,PF,77.34,few clouds,-9.8,-139.0333,Villa Enata
173,Bengkulu,ID,75.61,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
175,Hami,CN,87.24,broken clouds,42.8,93.45,Laoyutang Resort
178,Muros,ES,77.09,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
180,Kahului,US,76.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
181,Waingapu,ID,77.67,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
184,Korla,CN,84.7,broken clouds,41.7597,86.1469,Gulisitan Hotel
185,Honiara,SB,76.95,clear sky,-9.4333,159.95,Heritage Park Hotel
187,Salalah,OM,84.29,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
188,Tambopata,PE,80.49,clear sky,-12.7333,-69.1833,Enashawa Lodge
190,Safford,US,84.11,overcast clouds,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
191,Faanui,PF,78.31,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
195,Buala,SB,80.08,light rain,-8.145,159.5921,Maringe Lagoon Lodge
196,Bua Yai,TH,79.39,light rain,15.5855,102.4259,Rabiang Mai Resort
198,Lorengau,PG,82.18,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
199,Mabaruma,GY,83.98,broken clouds,8.2,-59.7833,Monty Brooms Guest House
202,Russell,US,83.43,few clouds,32.3502,-85.1999,Macs
203,Kroya,ID,76.95,broken clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
204,Tecoanapa,MX,82.78,overcast clouds,16.5167,-98.75,Hotel Manglares
208,Aras,ES,88.21,clear sky,42.5617,-2.356,Jardines de Viana Spa
212,Anahuac,MX,87.55,few clouds,27.2333,-100.15,HOTEL SAN FELIPE
213,Faya,SA,75.72,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
216,Valencia,ES,84.88,clear sky,39.3333,-0.8333,Masia El Pino
217,Bozuyuk,TR,80.94,clear sky,39.9078,30.0367,Grand Çalı Otel
218,Pasighat,IN,80.94,clear sky,28.0667,95.3333,Siang Guest House
220,Changping,CN,82.04,overcast clouds,40.2186,116.2197,Huachang Hotel
223,Mumford,GH,79.32,scattered clouds,5.2618,-0.759,Spanish Villa
226,Svetlogorsk,BY,79.0,broken clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
228,Adrasmon,TJ,76.21,clear sky,40.6472,69.9856,Kost Pria
233,Maceio,BR,76.44,overcast clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
234,Iskenderun,TR,88.63,clear sky,36.5872,36.1735,Grand Akçalı Otel
235,Dwarka,IN,84.6,heavy intensity rain,22.2394,68.9678,Hotel Narayan Avezika Comfort
239,Grand-Santi,GF,86.45,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
240,Fomboni,KM,77.11,light rain,-12.28,43.7425,Auberge les abou
241,Yarada,IN,84.33,overcast clouds,17.65,83.2667,Yarada Jungle Beach Resorts
244,Berlevag,NO,84.2,few clouds,70.8578,29.0864,Kvitbrakka
245,Samarai,PG,80.42,overcast clouds,-10.6167,150.6667,Nuli Sapi
246,Tual,ID,80.67,light rain,-5.6667,132.75,Grand Vilia Hotel
250,Raga,SS,82.35,overcast clouds,8.4596,25.678,Kost Pria
251,Tanete,ID,75.47,broken clouds,-3.9443,119.7848,Wisma Tri Multi
252,Puri,IN,82.92,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
253,Rogatica,BA,83.53,broken clouds,43.8008,19.0025,Hotel Park
254,Poum,NC,77.18,overcast clouds,-20.2333,164.0167,Kost Pria
257,Sao Joao Da Barra,BR,78.89,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
259,Soyo,AO,75.87,clear sky,-6.1349,12.3689,Hospedaria ndozi'ame
261,Mayo,US,88.95,clear sky,38.8876,-76.5119,Resorts Resource Group International
262,Mae Sot,TH,77.41,overcast clouds,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
266,Mogadouro,PT,89.78,overcast clouds,41.3403,-6.7119,Pensão Russo
267,Naze,JP,77.74,overcast clouds,28.3667,129.4833,Shishime Hotel
268,Port Elizabeth,ZA,81.32,few clouds,-33.918,25.5701,39 On Nile Guest House
274,Shimoda,JP,78.1,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
284,Tromso,NO,82.42,clear sky,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
286,San Blas,MX,85.89,broken clouds,21.5167,-105.2667,Hotel Posada del Rey
290,Lamar,US,85.64,broken clouds,33.6668,-95.5836,Kings Inn Paris TX
292,Broome,US,77.2,broken clouds,42.2506,-75.833,Chenango Valley State Park
293,Ipixuna,BR,89.47,clear sky,-1.7625,-48.8043,Chalé do Mato
295,Itumbiara,BR,84.9,clear sky,-18.4192,-49.2153,Itumbiara Palace Hotel
297,Vanimo,PG,76.96,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
299,Bukama,CD,88.9,few clouds,-9.2,25.85,Kost Pria
300,Tabuk,PH,76.06,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
301,Peniche,PT,82.08,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
306,Chhindwara,IN,77.56,light rain,22.0667,78.9333,STARiHOTELS Chhindwara
307,Bheramara,BD,85.98,overcast clouds,24.0232,88.9925,Govt Guest House (Dac Banglo)
309,Kavieng,PG,82.29,light rain,-2.5744,150.7967,Nusa Island Retreat
310,Tomatlan,MX,84.34,broken clouds,19.9333,-105.25,El Salvial
311,Daura,NG,87.75,broken clouds,11.5538,11.4085,Kost Pria
312,Bethel,US,83.75,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
313,Elizabeth City,US,87.01,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
314,Avera,US,80.91,clear sky,33.194,-82.5271,Kost Pria
315,Turan,VN,87.78,few clouds,16.0678,108.2208,Grand Mercure Danang
316,Ewa Beach,US,76.98,clear sky,21.3156,-158.0072,Base Lodging
321,Oytal,KZ,76.8,clear sky,42.9057,73.2697,Sanatorium Ak-Niet
324,Wilmington,US,78.94,overcast clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
343,Caldas Novas,BR,83.48,few clouds,-17.7417,-48.625,Best Western Suites Le Jardin Caldas Novas
344,Naftalan,AZ,83.5,moderate rain,40.5067,46.825,Gashalti Health Hotel - Naftalan
347,Casa Branca,BR,80.53,clear sky,-21.7739,-47.0864,Hospedaria Casa Branca
350,Puerto Madero,MX,86.2,scattered clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
353,Namibe,AO,76.66,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
354,Rebra,RO,83.48,broken clouds,47.3167,24.5,Agropensiunea Imperial
357,Banjar,ID,78.44,broken clouds,-8.19,114.9675,The Hamsa Resort
358,Kaduy,RU,81.46,broken clouds,59.2,37.15,Hotel Oktyabrskaya
