,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Shakawe,BW,-18.3667,21.85,72.61,29,80,4.18,broken clouds
1,Qaanaaq,GL,77.484,-69.3632,40.33,72,100,1.66,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,40.66,45,0,14.97,clear sky
3,Barrow,US,71.2906,-156.7887,39.22,87,0,11.5,clear sky
4,Sur,OM,22.5667,59.5289,93.61,57,91,7.87,overcast clouds
5,Praya,CV,14.9215,-23.5087,79.34,61,75,17.27,broken clouds
6,Punta Arenas,CL,-53.15,-70.9167,35.71,75,75,12.66,broken clouds
7,Butaritari,KI,3.0707,172.7902,82.72,76,76,20.45,light rain
8,Waddan,LY,29.1614,16.139,102.38,11,0,18.88,clear sky
9,Sola,VU,-13.8833,167.55,80.87,77,11,24.09,few clouds
10,East London,ZA,-33.0153,27.9116,78.22,31,0,10.31,clear sky
11,Kismayo,SO,-0.3582,42.5454,77.54,72,54,18.72,broken clouds
12,Rikitea,PF,-23.1203,-134.9692,73.74,74,34,28.12,light rain
13,Mackay,AU,-21.15,149.2,64.69,90,100,11.45,light rain
14,Bluff,NZ,-46.6,168.3333,45.81,79,33,22.44,scattered clouds
15,Clyde River,CA,70.4692,-68.5914,40.57,75,44,6.31,scattered clouds
16,Samokov,BG,42.3333,23.55,77.5,58,39,6.8,scattered clouds
17,Flinders,AU,-34.5833,150.8552,58.37,94,100,11.01,heavy intensity rain
18,Mandurah,AU,-32.55,115.7,53.31,65,0,10.07,clear sky
19,Olafsvik,IS,64.8945,-23.7142,49.89,84,97,10.51,overcast clouds
20,Albany,US,42.6001,-73.9662,76.68,83,100,1.01,overcast clouds
21,Voznesenye,RU,61.0106,35.4781,70.9,66,68,4.47,broken clouds
22,Bredasdorp,ZA,-34.5322,20.0403,60.15,64,74,19.86,broken clouds
23,Robertsport,LR,6.7533,-11.3686,78.53,80,48,8.66,light rain
24,Bambanglipuro,ID,-7.95,110.2833,77.23,91,41,8.14,scattered clouds
