City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pointe Michel,DM,2022-06-29 11:51:54,15.25,-61.3833,80.89,84,81,26.75
1,Blythe,US,2022-06-29 11:51:54,33.6103,-114.5964,93.65,17,0,6.91
2,Hithadhoo,MV,2022-06-29 11:51:55,-0.6,73.0833,83.95,73,100,10.38
3,Marsa Matruh,EG,2022-06-29 11:51:55,31.3525,27.2453,82.6,61,40,20.71
4,Cape Town,ZA,2022-06-29 11:51:56,-33.9258,18.4232,77.41,33,0,12.66
5,Tasiilaq,GL,2022-06-29 11:51:56,65.6145,-37.6368,37.67,76,100,4.21
6,Thompson,CA,2022-06-29 11:51:57,55.7435,-97.8558,53.76,62,75,6.91
7,Busselton,AU,2022-06-29 11:51:58,-33.65,115.3333,51.13,78,0,9.89
8,Rikitea,PF,2022-06-29 11:51:58,-23.1203,-134.9692,71.96,78,95,23.17
9,Saint-Augustin,CA,2022-06-29 11:52:04,51.226,-58.6502,58.08,74,100,8.72
10,Saint-Pierre,RE,2022-06-29 11:52:05,-21.3393,55.4781,71.28,68,35,26.46
11,Tahoua,NE,2022-06-29 11:52:06,14.8888,5.2692,91.38,49,20,16.11
12,Tiksi,RU,2022-06-29 11:52:06,71.6872,128.8694,54.16,41,71,13.89
13,Punta Arenas,CL,2022-06-29 11:52:07,-53.15,-70.9167,32.11,93,0,13.8
14,Atuona,PF,2022-06-29 11:52:07,-9.8,-139.0333,77.14,80,11,17.49
15,Qiqihar,CN,2022-06-29 11:52:08,47.3408,123.9672,74.37,67,63,6.71
16,Aklavik,CA,2022-06-29 11:52:08,68.2191,-135.0107,47.64,84,100,13.51
17,Hilo,US,2022-06-29 11:48:27,19.7297,-155.09,71.28,91,75,8.05
18,Belaya Gora,RU,2022-06-29 11:52:09,68.5333,146.4167,45.27,69,62,7.11
19,Fuente De Oro,CO,2022-06-29 11:52:10,3.4594,-73.6128,70.68,94,93,1.25
20,Shingu,JP,2022-06-29 11:50:14,33.7333,135.9833,74.88,90,5,7.27
21,Kavaratti,IN,2022-06-29 11:52:10,10.5669,72.642,82.45,76,100,17.27
22,Ushuaia,AR,2022-06-29 11:52:11,-54.8,-68.3,33.46,69,20,5.75
23,Khudumelapye,BW,2022-06-29 11:52:12,-23.8833,24.75,59.58,46,97,12.08
24,Hervey Bay,AU,2022-06-29 11:52:12,-25.2986,152.8535,63.9,76,100,8.72
25,Dikson,RU,2022-06-29 11:52:12,73.5069,80.5464,32.41,87,96,15.64
26,Bluff,NZ,2022-06-29 11:52:13,-46.6,168.3333,38.8,86,76,15.88
27,Ambon,ID,2022-06-29 11:52:13,-3.6954,128.1814,78.24,15,40,0.0
28,Oranjemund,NA,2022-06-29 11:50:14,-28.55,16.4333,75.18,31,0,13.62
29,Kapaa,US,2022-06-29 11:52:14,22.0752,-159.319,77.32,82,100,16.11
30,Hami,CN,2022-06-29 11:52:15,42.8,93.45,94.73,16,99,8.75
31,Bredasdorp,ZA,2022-06-29 11:52:16,-34.5322,20.0403,75.76,32,1,3.85
32,Bashtanka,UA,2022-06-29 11:52:17,47.4072,32.4387,93.6,25,3,13.87
33,Isangel,VU,2022-06-29 11:52:20,-19.55,169.2667,73.27,82,77,15.37
34,Miri,MY,2022-06-29 11:52:20,4.4148,114.0089,82.54,83,40,4.61
35,Setermoen,NO,2022-06-29 11:52:21,68.861,18.3486,82.36,55,23,5.01
36,Noumea,NC,2022-06-29 11:50:05,-22.2763,166.4572,71.01,99,0,6.73
37,Kruisfontein,ZA,2022-06-29 11:52:22,-34.0033,24.7314,76.89,25,9,4.34
38,Harper,LR,2022-06-29 11:52:23,4.375,-7.7169,82.85,71,84,6.62
39,Marathon,US,2022-06-29 11:52:23,44.9,-89.7668,56.66,90,0,5.75
40,Albany,US,2022-06-29 11:52:24,42.6001,-73.9662,65.26,82,24,2.95
41,Castro,BR,2022-06-29 11:52:24,-24.7911,-50.0119,57.02,90,63,11.59
42,Mataura,NZ,2022-06-29 11:52:25,-46.1927,168.8643,38.48,98,32,2.77
43,Tarauaca,BR,2022-06-29 11:52:25,-8.1614,-70.7656,70.81,79,40,1.07
44,Mokhsogollokh,RU,2022-06-29 11:52:26,61.4681,128.9203,67.91,71,75,5.35
45,East London,ZA,2022-06-29 11:52:26,-33.0153,27.9116,77.94,27,0,14.97
46,Appleton,US,2022-06-29 11:52:27,44.2619,-88.4154,61.5,94,75,4.61
47,Hobart,AU,2022-06-29 11:49:11,-42.8794,147.3294,55.06,75,75,8.05
48,Kochevo,RU,2022-06-29 11:52:28,59.5994,54.3125,64.33,37,22,11.7
49,Korla,CN,2022-06-29 11:52:29,41.7597,86.1469,94.93,17,39,6.17
50,Alamosa,US,2022-06-29 11:52:30,37.4695,-105.87,53.76,53,1,3.53
51,Opuwo,NA,2022-06-29 11:52:30,-18.0607,13.84,72.75,28,2,16.51
52,Airai,TL,2022-06-29 11:52:31,-8.9266,125.4092,59.68,97,100,2.44
53,Lebu,CL,2022-06-29 11:52:31,-37.6167,-73.65,53.83,94,100,11.97
54,Jamiltepec,MX,2022-06-29 11:52:32,16.2833,-97.8167,70.93,93,54,1.86
55,Lambarene,GA,2022-06-29 11:52:32,-0.7001,10.2406,78.82,83,100,2.77
56,Jutai,BR,2022-06-29 11:52:33,-5.1833,-68.9,74.12,94,73,2.26
57,Nkayi,CG,2022-06-29 11:52:33,-4.1841,13.2884,94.39,29,70,2.64
58,Palmer,US,2022-06-29 11:52:34,42.1584,-72.3287,69.67,87,40,0.0
59,San Buenaventura,MX,2022-06-29 11:52:34,27.0833,-101.5333,75.47,78,17,1.07
60,Guiren,CN,2022-06-29 11:52:36,33.6697,118.1889,88.0,55,2,11.03
61,Carnarvon,AU,2022-06-29 11:52:37,-24.8667,113.6333,68.63,41,0,16.15
62,Rayong,TH,2022-06-29 11:50:49,12.8333,101.4333,83.77,98,96,6.08
63,Sao Filipe,CV,2022-06-29 11:52:38,14.8961,-24.4956,75.2,72,18,13.76
64,Svetlogorsk,BY,2022-06-29 11:52:39,52.6333,29.7333,82.54,53,94,10.2
65,Guerrero Negro,MX,2022-06-29 11:52:39,27.9769,-114.0611,69.98,82,5,11.54
66,Flin Flon,CA,2022-06-29 11:52:40,54.7682,-101.865,55.24,62,75,8.05
67,Puerto Ayora,EC,2022-06-29 11:52:41,-0.7393,-90.3518,69.55,92,98,10.0
68,Saint-Philippe,RE,2022-06-29 11:52:41,-21.3585,55.7679,71.19,74,86,14.52
69,Chuy,UY,2022-06-29 11:52:42,-33.6971,-53.4616,45.16,80,11,5.64
70,Severo-Kurilsk,RU,2022-06-29 11:52:42,50.6789,156.125,45.99,94,100,10.36
71,Leo,BF,2022-06-29 11:52:43,11.1,-2.1,92.21,44,39,7.96
72,Butaritari,KI,2022-06-29 11:52:44,3.0707,172.7902,81.88,78,100,17.87
73,Jamestown,US,2022-06-29 11:52:44,42.097,-79.2353,62.19,87,0,6.91
74,Ponta Do Sol,PT,2022-06-29 11:52:45,32.6667,-17.1,75.7,62,7,3.31
75,Chokurdakh,RU,2022-06-29 11:52:45,70.6333,147.9167,48.7,48,95,8.19
76,Qitaihe,CN,2022-06-29 11:52:45,45.8,130.85,65.44,91,100,3.27
77,Nikolskoye,RU,2022-06-29 11:52:46,59.7035,30.7861,78.87,26,0,5.91
78,Asyut,EG,2022-06-29 11:52:47,27.181,31.1837,95.18,16,0,12.64
79,Cherskiy,RU,2022-06-29 11:52:47,68.75,161.3,38.57,92,100,16.28
80,Clyde River,CA,2022-06-29 11:52:48,70.4692,-68.5914,37.63,87,100,5.75
81,Pevek,RU,2022-06-29 11:52:48,69.7008,170.3133,33.17,95,98,10.67
82,Hermanus,ZA,2022-06-29 11:52:49,-34.4187,19.2345,79.81,48,3,3.56
83,Kismayo,SO,2022-06-29 11:52:49,-0.3582,42.5454,80.51,63,40,17.27
84,Port Alfred,ZA,2022-06-29 11:52:49,-33.5906,26.891,78.19,32,48,5.01
85,Provideniya,RU,2022-06-29 11:52:50,64.3833,-173.3,44.71,97,99,5.21
86,Hasaki,JP,2022-06-29 11:49:47,35.7333,140.8333,81.0,84,97,14.25
87,Ola,RU,2022-06-29 11:52:51,59.5833,151.2833,57.15,97,45,8.12
88,Kaitangata,NZ,2022-06-29 11:52:52,-46.2817,169.8464,40.87,92,33,5.88
89,Alice Springs,AU,2022-06-29 11:52:53,-23.7,133.8833,53.15,40,52,6.91
90,Talnakh,RU,2022-06-29 11:49:34,69.4865,88.3972,65.21,45,100,4.81
91,Constitucion,CL,2022-06-29 11:52:54,-35.3333,-72.4167,53.29,86,100,9.48
92,Bambous Virieux,MU,2022-06-29 11:52:54,-20.3428,57.7575,73.65,49,75,12.66
93,Raudeberg,NO,2022-06-29 11:52:55,61.9875,5.1352,63.27,89,2,6.46
